Year,Month,Month_Name,Revenue,Orders,AOV
2022,1,Jan,50525.0,349,144.77
2022,2,Feb,41579.5,305,136.33
2022,3,Mar,38566.0,320,120.52
2022,4,Apr,38650.0,319,121.16
2022,5,May,38752.5,302,128.32
2022,6,Jun,40846.0,309,132.19
2022,7,Jul,41098.5,324,126.85
2022,8,Aug,38178.0,311,122.76
2022,9,Sep,44287.0,322,137.54
2022,10,Oct,35580.5,284,125.28
2022,11,Nov,39989.0,314,127.35
2022,12,Dec,36249.5,277,130.86
2023,1,Jan,45989.5,347,132.53
2023,2,Feb,36520.0,278,131.37
2023,3,Mar,35978.5,269,133.75
2023,4,Apr,37003.0,294,125.86
2023,5,May,38563.0,304,126.85
2023,6,Jun,40540.0,320,126.69
2023,7,Jul,43334.0,333,130.13
2023,8,Aug,37238.5,297,125.38
2023,9,Sep,37945.5,299,126.91
2023,10,Oct,36091.5,274,131.72
2023,11,Nov,34900.0,272,128.31
2023,12,Dec,41046.0,314,130.72
2024,1,Jan,44885.0,339,132.4
2024,2,Feb,35054.0,289,121.29
2024,3,Mar,40841.5,320,127.63
2024,4,Apr,43280.5,288,150.28
2024,5,May,42254.0,332,127.27
2024,6,Jun,42583.0,315,135.18
2024,7,Jul,39896.0,317,125.85
2024,8,Aug,41459.0,344,120.52
2024,9,Sep,40023.5,315,127.06
2024,10,Oct,41399.5,325,127.38
2024,11,Nov,41367.5,308,134.31
2024,12,Dec,46292.5,343,134.96
2025,1,Jan,24211.5,190,127.43
